id,cds,amt,wday
179,1,16.36,Wed
179,1,14.96,Sat
179,2,24.94,Sat
179,1,21.97,Wed
179,1,12.25,Mon
185,3,26.07,Thu
185,1,14.79,Sat
185,1,6.99,Sat
185,3,39.36,Fri
185,2,27.98,Fri
192,1,10.77,Wed
192,2,30.92,Wed
192,2,28.93,Sat
192,3,59.69,Sun
192,1,14.96,Mon
195,1,22.49,Wed
195,1,14.49,Tue
195,1,11.49,Sat
195,1,11.49,Sat
195,1,9.49,Sat
201,1,14.96,Wed
201,1,14.37,Sat
201,1,9.49,Sat
201,1,9.49,Sun
201,1,24.99,Tue
214,1,11.77,Wed
214,3,44.73,Fri
214,1,14.79,Wed
214,2,23.54,Sat
214,3,46.51,Mon
225,1,23.88,Fri
225,1,12.49,Wed
225,2,24.98,Wed
225,3,37.47,Sat
225,1,6.79,Thu
226,2,35.93,Thu
226,2,26.73,Sun
226,2,23.76,Sun
226,2,24.74,Sat
226,1,15.49,Sun
227,1,14.37,Sun
227,3,86.51,Sun
227,1,14.96,Sat
227,1,13.77,Fri
227,1,34.97,Wed
228,1,29.99,Tue
228,3,41.47,Mon
228,1,23.97,Thu
228,2,36.74,Thu
228,3,51.75,Tue
229,1,12.49,Wed
229,2,19.28,Mon
229,1,12.25,Tue
229,2,19.98,Thu
229,1,19.49,Sat
238,7,88.69,Thu
238,3,36.33,Thu
238,4,59.06,Sun
238,3,47.89,Wed
238,6,73.22,Sun
244,1,12.99,Sun
244,9,119.41,Thu
244,6,86.44,Sat
244,4,44.46,Thu
244,1,27.99,Fri
245,1,13.99,Thu
245,4,57.85,Wed
245,1,10.49,Wed
245,1,7.99,Mon
245,1,12.99,Wed
246,3,41.47,Wed
246,2,22.67,Thu
246,1,11.88,Sat
246,3,45.47,Mon
246,2,26.87,Tue
252,7,105.82,Sun
252,6,110.6,Thu
252,2,26.14,Wed
252,6,69.94,Sat
252,2,22.77,Sat
300,3,35.97,Fri
300,2,24.98,Thu
300,3,34.47,Wed
300,1,15.99,Mon
300,1,13.49,Tue
304,2,25.74,Thu
304,1,14.96,Thu
304,1,15.19,Mon
304,2,32.92,Fri
304,2,24.53,Tue
313,9,125.91,Thu
313,8,97.92,Tue
313,5,68.45,Wed
313,9,114.91,Fri
313,3,40.97,Mon
317,1,46.77,Thu
317,3,42.47,Sat
317,1,14.49,Sat
317,6,90.94,Fri
317,2,36.48,Fri
323,6,128.42,Wed
323,2,24.98,Thu
323,1,11.77,Fri
323,4,75.32,Thu
323,3,29.97,Wed
328,3,34.47,Sun
328,2,27.98,Tue
328,2,16.98,Tue
328,1,31.99,Sun
328,2,30.48,Sun
329,2,26.37,Mon
329,2,29.16,Tue
329,1,11.88,Fri
329,1,14.79,Thu
329,1,11.77,Wed
339,6,76.02,Thu
339,6,95.82,Tue
339,8,114.58,Thu
339,3,40.97,Thu
339,5,84.45,Fri
344,2,31.98,Mon
344,1,32.49,Thu
344,2,18.98,Mon
344,2,29.07,Thu
344,3,35.95,Thu
358,2,36.48,Thu
358,1,11.49,Thu
358,1,12.49,Tue
358,3,42.97,Mon
358,1,15.49,Wed
360,1,11.49,Fri
360,1,11.49,Thu
360,2,23.87,Mon
360,1,14.96,Wed
360,2,25.98,Wed
365,2,25.98,Sun
365,2,26.37,Thu
365,1,12.99,Sun
365,1,12.99,Wed
365,2,31.98,Sat
373,2,28.74,Thu
373,4,53.4,Fri
373,2,29.33,Wed
373,4,51.47,Wed
373,2,28.34,Mon
374,1,12.49,Sat
374,2,25.98,Sat
374,1,29.99,Sat
374,7,101.93,Sun
374,4,48.47,Sun
387,4,66.14,Thu
387,2,44.98,Fri
387,9,159.41,Fri
387,3,50.65,Fri
387,2,20.98,Wed
389,1,14.49,Sat
389,4,55.35,Sat
389,3,36.36,Sat
389,6,81.33,Sat
389,1,29.49,Sat
396,3,41.1,Thu
396,2,80.54,Mon
396,2,19.73,Tue
396,3,35.97,Fri
396,4,32.92,Thu
398,2,27.48,Wed
398,3,46.47,Fri
398,3,41.16,Mon
398,4,51.96,Mon
398,4,55.85,Wed
400,1,12.99,Fri
400,1,14.49,Sat
400,1,6.49,Fri
400,3,48.71,Fri
400,1,12.58,Sun
404,1,19.99,Tue
404,2,30.95,Sun
404,1,11.77,Wed
404,2,30.15,Thu
404,1,14.37,Fri
406,2,66.48,Wed
406,3,39.2,Fri
406,3,51.72,Wed
406,3,29.32,Thu
406,1,32.49,Tue
411,3,42.71,Sun
411,4,104.96,Fri
411,2,101.98,Sun
411,5,55.95,Fri
411,4,95.96,Mon
421,10,124.29,Tue
421,1,15.36,Thu
421,1,13.97,Mon
421,2,28.47,Thu
421,2,24.74,Sun
422,3,35.31,Thu
422,3,38.72,Fri
422,1,13.97,Wed
422,1,13.97,Fri
422,8,113.35,Wed
424,1,14.49,Wed
424,3,91.47,Sun
424,1,39.49,Thu
424,1,12.99,Mon
424,2,63.94,Fri
431,4,57.46,Tue
431,3,43.47,Sat
431,5,57.25,Tue
431,5,55.05,Sat
431,1,17.76,Thu
433,1,31.97,Wed
433,4,59.63,Mon
433,1,32.45,Sun
433,3,37.47,Mon
433,2,27.48,Wed
436,2,27.94,Sun
436,1,13.97,Thu
436,2,30.73,Sun
436,2,30.73,Thu
436,3,54.9,Wed
441,1,14.99,Wed
441,1,14.49,Thu
441,2,15.48,Mon
441,2,23.98,Tue
441,2,24.48,Wed
445,2,28.33,Sun
445,2,25.54,Sun
445,2,27.14,Tue
445,1,14.37,Thu
445,2,27.13,Sat
446,1,13.97,Thu
446,1,11.49,Sat
446,1,15.49,Mon
446,2,31.52,Tue
446,1,19.99,Thu
456,5,58.25,Fri
456,8,108.53,Tue
456,5,69.23,Sun
456,4,54.67,Wed
456,6,68.44,Sun
458,1,38.49,Tue
458,2,8.48,Tue
458,1,12.49,Wed
458,1,14.37,Sat
458,1,12.49,Sat
464,5,62.45,Thu
464,1,43.72,Wed
464,3,14.47,Thu
464,4,30.96,Sat
464,2,21.57,Sat
484,1,12.99,Sun
484,1,11.88,Sat
484,2,29.33,Fri
484,2,23.06,Fri
484,4,40.23,Fri
485,12,203.88,Sun
485,2,28.13,Tue
485,3,91.47,Mon
485,6,94.46,Mon
485,4,49.67,Tue
492,1,12.97,Thu
492,1,8.77,Tue
492,2,24.98,Fri
492,2,24.5,Mon
492,2,35.21,Mon
499,13,129.87,Sat
499,8,92.92,Thu
499,11,172.89,Mon
499,3,95.97,Mon
499,5,89.95,Thu
519,2,27.98,Tue
519,3,38.97,Sat
519,3,33.47,Wed
519,1,17.49,Sun
519,3,48.5,Sat
523,1,6.49,Fri
523,2,41.96,Mon
523,2,29.33,Tue
523,2,24.98,Fri
523,1,13.97,Fri
546,10,138.83,Fri
546,16,225.84,Thu
546,19,275.81,Thu
546,1,22.49,Fri
546,1,22.49,Thu
547,1,14.49,Thu
547,3,51.82,Fri
547,2,29.98,Mon
547,2,28.6,Tue
547,2,29.98,Fri
548,1,12.58,Mon
548,3,28.47,Tue
548,1,14.49,Fri
548,2,26.48,Sun
548,1,11.77,Thu
561,1,23.99,Tue
561,2,16.48,Mon
561,3,41.47,Wed
561,2,22.98,Mon
561,4,60.54,Thu
564,2,24.48,Tue
564,3,35.97,Sun
564,2,26.48,Sat
564,2,28.98,Fri
564,1,12.99,Sun
567,6,86.01,Fri
567,4,59.46,Sun
567,2,36.98,Fri
567,5,68.45,Mon
567,3,40.97,Mon
572,1,12.49,Fri
572,2,24.74,Thu
572,1,15.96,Mon
572,2,24.76,Mon
572,4,62.96,Fri
583,3,45.09,Fri
583,1,14.96,Wed
583,2,28.13,Wed
583,3,42.31,Sun
583,1,26.99,Wed
585,2,23.14,Sun
585,2,25.98,Sun
585,1,9.99,Thu
585,3,43.06,Sat
585,1,15.49,Wed
586,5,64.95,Tue
586,5,67.24,Wed
586,3,33.31,Sun
586,12,167.79,Mon
586,7,114.77,Wed
587,2,25.98,Fri
587,2,29.93,Fri
587,2,29.33,Fri
587,3,44.97,Wed
587,1,19.3,Fri
593,1,12.58,Thu
593,1,11.77,Fri
593,3,42.69,Wed
593,1,15.36,Mon
593,2,26.76,Tue
608,1,9.77,Sun
608,3,37.51,Sun
608,1,11.77,Mon
608,3,43.73,Fri
608,4,51.87,Fri
609,3,41.52,Mon
609,4,90.46,Fri
609,3,51.91,Mon
609,1,41.99,Mon
609,4,58.89,Thu
619,4,50.48,Thu
619,4,60.05,Fri
619,2,28.48,Mon
619,2,26.98,Mon
619,1,9.49,Fri
624,2,27.13,Thu
624,4,55.96,Tue
624,2,33.98,Wed
624,3,43.97,Tue
624,2,28.06,Fri
629,4,68.96,Fri
629,1,14.49,Tue
629,3,40.71,Thu
629,4,60.1,Mon
629,3,46.08,Fri
633,2,23.54,Fri
633,1,27.77,Fri
633,3,36.31,Fri
633,5,69.43,Tue
633,4,45.08,Fri
635,7,99.43,Sat
635,3,49.97,Sun
635,4,98.46,Sun
635,1,13.97,Wed
635,5,71.43,Sun
643,2,20.26,Thu
643,2,27.98,Fri
643,3,43.4,Mon
643,3,35.97,Thu
643,1,14.96,Fri
659,3,43.73,Sun
659,4,57.71,Sun
659,4,47.46,Fri
659,1,15.36,Tue
659,6,69.53,Mon
662,1,27.77,Fri
662,1,44.99,Fri
662,3,41.1,Thu
662,1,18.36,Tue
662,1,21.49,Thu
663,2,24.98,Mon
663,2,26.48,Fri
663,1,16.49,Mon
663,1,9.49,Sun
663,1,11.88,Thu
674,2,26.73,Mon
674,2,30.92,Sun
674,1,14.96,Thu
674,1,15.7,Tue
674,2,30.27,Mon
689,1,12.49,Mon
689,1,12.49,Sun
689,1,12.25,Wed
689,1,11.77,Wed
689,1,12.25,Mon
691,2,27.98,Sun
691,6,112.94,Mon
691,1,12.99,Mon
691,4,54.46,Wed
691,2,25.98,Wed
698,1,11.88,Fri
698,2,29.07,Tue
698,1,15.99,Fri
698,2,20.81,Sun
698,2,26.14,Wed
702,1,15.49,Wed
702,1,14.49,Tue
702,1,11.77,Fri
702,1,22.97,Mon
702,1,14.37,Mon
710,1,23.99,Wed
710,1,12.99,Sat
710,1,16.99,Thu
710,3,38.97,Fri
710,2,28.98,Sat
711,1,11.49,Wed
711,3,37.97,Mon
711,2,26.98,Tue
711,1,13.99,Sat
711,2,14.98,Sun
718,1,13.97,Fri
718,1,13.77,Mon
718,1,11.99,Sat
718,1,12.99,Fri
718,1,10.99,Sun
729,2,24.37,Thu
729,2,30.26,Mon
729,4,58.89,Wed
729,4,64.96,Sun
729,3,50.97,Mon
730,7,125.94,Thu
730,1,13.99,Tue
730,2,27.98,Sat
730,3,49.02,Fri
730,2,29.33,Wed
737,2,28.93,Mon
737,3,36.05,Sat
737,2,32.89,Sun
737,4,57.46,Sun
737,2,28.34,Thu
758,6,80.94,Thu
758,3,41.47,Sun
758,3,39.47,Sun
758,2,30.98,Sat
758,1,15.49,Wed
766,1,12.97,Sun
766,3,33.15,Mon
766,2,21.16,Tue
766,1,12.97,Wed
766,1,13.97,Wed
767,1,13.99,Sun
767,1,9.99,Thu
767,3,44.88,Sun
767,4,68,Sat
767,6,34.68,Fri
772,1,22.49,Tue
772,3,43.97,Sat
772,1,14.49,Sat
772,1,16.99,Sun
772,1,23.08,Sun
773,4,56.27,Sat
773,4,62.9,Mon
773,1,15.36,Mon
773,3,63.95,Mon
773,1,24.99,Mon
776,3,43.7,Sat
776,1,12.97,Sun
776,2,27.13,Fri
776,1,13.97,Fri
776,1,13.97,Sat
778,2,30.13,Sun
778,1,14.96,Fri
778,2,31.72,Mon
778,3,44.37,Fri
778,2,28.34,Mon
783,2,27.41,Thu
783,2,28.48,Mon
783,2,23.98,Tue
783,9,113.35,Fri
783,3,37.51,Fri
790,2,20.98,Sat
790,1,5.49,Thu
790,1,22.49,Sun
790,2,20.48,Tue
790,1,16.49,Sun
797,4,50.85,Sat
797,2,20.98,Sat
797,5,63.34,Sun
797,1,9.99,Mon
797,4,47.49,Tue
806,4,44.96,Sun
806,3,101.31,Sun
806,2,40.48,Sun
806,2,39.35,Tue
806,2,23.54,Sat
808,5,58.84,Tue
808,2,55.98,Sat
808,8,114.81,Tue
808,5,70.84,Tue
808,7,94.21,Sat
819,4,55.49,Sat
819,2,27.73,Mon
819,3,37.53,Wed
819,1,19.99,Sat
819,2,23.74,Tue
821,2,19.98,Fri
821,1,19.49,Thu
821,1,9.77,Mon
821,2,27.13,Sat
821,2,16.97,Thu
822,1,11.77,Sat
822,2,31.73,Wed
822,2,24.34,Mon
822,2,25.74,Fri
822,2,29.92,Sun
824,2,27.48,Sun
824,2,39.86,Fri
824,3,33.97,Fri
824,2,42.98,Fri
824,6,101.19,Fri
825,2,100.74,Sat
825,26,339.24,Sat
825,10,184.9,Sun
825,8,112.92,Sun
825,7,83.43,Mon
827,2,31.48,Fri
827,1,27.99,Fri
827,2,35.48,Mon
827,2,25.74,Tue
827,1,27.99,Fri
830,1,15.36,Sat
830,1,11.77,Sat
830,1,14.96,Wed
830,1,15.96,Wed
830,1,12.99,Fri
843,1,19.99,Mon
843,2,32.74,Thu
843,1,13.97,Tue
843,1,19.99,Sat
843,4,59.07,Thu
845,2,25.98,Wed
845,3,61.97,Sat
845,1,21.99,Mon
845,1,38.1,Thu
845,1,18.1,Sun
846,5,56.95,Wed
846,1,34.49,Fri
846,5,66.64,Sun
846,3,95.13,Sat
846,6,70.41,Sun
849,1,11.99,Sun
849,1,9.99,Fri
849,1,13.99,Thu
849,1,12.77,Thu
849,1,31.03,Sat
850,12,173.88,Wed
850,10,143.9,Thu
850,4,55.96,Mon
850,1,14.37,Mon
850,2,62.67,Sat
860,2,15.98,Fri
860,1,2.99,Fri
860,1,12.25,Wed
860,1,31.49,Mon
860,1,12.25,Tue
870,3,39.47,Mon
870,3,38.97,Mon
870,2,26.74,Thu
870,2,28.93,Mon
870,2,27.94,Wed
873,2,28.48,Sat
873,1,13.99,Thu
873,1,13.99,Sun
873,3,45.28,Sat
873,4,55.66,Tue
874,1,49.99,Tue
874,1,15.49,Sun
874,1,15.36,Sun
874,2,66.96,Sun
874,1,9.99,Fri
881,3,45.09,Mon
881,7,106.03,Sat
881,1,11.77,Sat
881,2,36.94,Sat
881,5,71.02,Mon
887,5,137.45,Sat
887,5,67.45,Mon
887,5,58.32,Thu
887,4,93.2,Thu
887,5,71.24,Sun
891,2,27.94,Sat
891,1,4.98,Wed
891,3,45.28,Sat
891,3,40.1,Sat
891,3,37.97,Sat
892,1,14.99,Tue
892,1,11.49,Sun
892,1,15.99,Sun
892,2,26.94,Fri
892,1,12.77,Fri
894,1,11.49,Wed
894,1,13.77,Tue
894,1,11.77,Wed
894,2,23.54,Thu
894,2,29.93,Sat
896,1,12.99,Mon
896,1,11.49,Tue
896,1,8.47,Thu
896,1,2.99,Mon
896,1,12.99,Mon
905,1,11.77,Sun
905,1,13.97,Mon
905,1,11.77,Sat
905,1,11.77,Sat
905,1,15.36,Sun
910,1,27.99,Fri
910,1,34.98,Sun
910,1,25.47,Thu
910,1,25.47,Fri
910,2,27.98,Mon
920,3,39.47,Thu
920,2,25.98,Tue
920,2,25.98,Sat
920,1,13.98,Thu
920,2,27.98,Sat
923,2,22.48,Thu
923,2,39.48,Sun
923,5,68.05,Thu
923,1,83.7,Sat
923,1,17.99,Tue
931,1,15.49,Thu
931,2,17.56,Mon
931,2,18.56,Mon
931,1,12.77,Tue
931,1,11.99,Sun
933,4,58.07,Sun
933,11,126.3,Mon
933,4,60.24,Tue
933,3,44.69,Sun
933,2,32.88,Fri
941,1,13.49,Fri
941,1,14.99,Mon
941,3,34.97,Sun
941,2,23.54,Sat
941,1,15.76,Fri
945,1,13.97,Mon
945,2,28.93,Sun
945,1,22.77,Sat
945,1,13.97,Sun
945,1,13.99,Fri
946,2,28.91,Thu
946,1,13.99,Fri
946,1,15.99,Sat
946,1,12.99,Fri
946,1,33.99,Sat
962,1,16.49,Thu
962,1,11.49,Wed
962,3,34.47,Mon
962,3,44.69,Fri
962,1,14.37,Mon
965,1,12.58,Fri
965,1,9.98,Sat
965,1,13.99,Mon
965,1,14.49,Sat
965,1,14.49,Wed
968,1,11.99,Sat
968,1,15.36,Fri
968,1,9.77,Wed
968,1,12.77,Mon
968,1,10.77,Fri
979,5,82.83,Sun
979,3,39.97,Sun
979,4,93.46,Sun
979,3,37.97,Wed
979,11,133.48,Sat
980,3,46.7,Sat
980,3,41.97,Sun
980,2,27.48,Mon
980,8,119.42,Wed
980,7,97.93,Tue
988,3,48.97,Thu
988,3,46.88,Sun
988,4,51.27,Sat
988,4,65.27,Tue
988,3,34.31,Fri
992,2,39.54,Sun
992,4,62.26,Fri
992,3,51.49,Fri
992,6,76.62,Tue
992,1,39.49,Sat
997,1,29.49,Mon
997,1,14.37,Fri
997,2,27.98,Sat
997,4,51.88,Wed
997,3,35.53,Wed
998,8,119.13,Sun
998,3,44.29,Wed
998,2,30.32,Mon
998,4,59.65,Wed
998,2,26.48,Fri
1018,5,72.45,Fri
1018,2,21.66,Wed
1018,3,35.47,Tue
1018,1,14.99,Wed
1018,1,10.49,Tue
1025,1,10.49,Sat
1025,2,34.48,Tue
1025,1,11.88,Tue
1025,2,28.13,Sun
1025,2,28.34,Wed
1030,3,49.23,Mon
1030,2,55.98,Sun
1030,1,11.77,Wed
1030,3,77.18,Wed
1030,1,10.77,Sun
1032,2,27.94,Tue
1032,3,45.88,Thu
1032,3,30.25,Fri
1032,6,78.86,Fri
1032,2,30.32,Thu
1045,2,29.73,Sun
1045,2,24.48,Sun
1045,1,7.49,Sat
1045,3,35.97,Sat
1045,4,51.46,Sun
1068,1,12.99,Tue
1068,2,20.96,Wed
1068,3,39.97,Tue
1068,2,27.98,Wed
1068,1,9.49,Sat
1077,2,29.48,Sun
1077,2,56.98,Fri
1077,1,14.49,Tue
1077,8,152.94,Wed
1077,3,89.97,Thu
1083,1,15.99,Tue
1083,1,15.76,Mon
1083,2,25.98,Sat
1083,7,95.93,Sun
1083,1,15.36,Fri
1085,1,14.42,Sun
1085,2,25.48,Thu
1085,1,11.99,Fri
1085,4,58.46,Sun
1085,2,38.93,Fri
1087,1,12.99,Thu
1087,3,45.47,Wed
1087,3,38.47,Sat
1087,2,26.93,Sun
1087,2,26.98,Tue
1092,3,42.47,Thu
1092,1,12.99,Sun
1092,1,62.99,Thu
1092,2,36.48,Wed
1092,1,29.99,Tue
1094,1,12.99,Wed
1094,1,12.58,Sat
1094,1,12.99,Mon
1094,1,11.88,Tue
1094,2,64.98,Sat
1099,1,14.96,Wed
1099,1,10.49,Mon
1099,3,46.47,Wed
1099,1,18.49,Fri
1099,1,17.49,Tue
1108,1,14.96,Wed
1108,1,5.49,Sun
1108,1,5.49,Tue
1108,1,4.49,Tue
1108,1,5.49,Tue
1133,1,14.96,Sun
1133,1,12.99,Sat
1133,2,25.98,Sun
1133,1,6.49,Sun
1133,2,27.48,Sun
1148,2,17.62,Tue
1148,1,9.99,Thu
1148,2,19.98,Sun
1148,1,6.49,Sat
1148,2,18.75,Fri
1157,2,26.73,Sun
1157,2,30.33,Sun
1157,1,36.7,Sun
1157,1,28.3,Sun
1157,3,41.97,Fri
1161,7,123.8,Sun
1161,9,158,Wed
1161,7,121.21,Mon
1161,5,67.04,Sun
1161,4,99.96,Thu
1167,4,47.28,Sun
1167,4,60.84,Sat
1167,2,19.94,Tue
1167,2,24.74,Wed
1167,2,23.54,Mon
1170,3,41.53,Sun
1170,1,11.77,Wed
1170,4,53.47,Mon
1170,1,14.96,Wed
1170,3,40.9,Mon
1171,2,28.93,Mon
1171,1,14.96,Tue
1171,2,22.54,Mon
1171,7,118.32,Sat
1171,8,106.52,Tue
1176,1,15.49,Sun
1176,2,24.87,Sat
1176,2,20.98,Sun
1176,1,13.49,Thu
1176,1,11.49,Tue
1183,2,25.07,Fri
1183,3,43.69,Tue
1183,3,42.09,Mon
1183,5,75.45,Wed
1183,5,63.25,Tue
1185,9,121.96,Tue
1185,4,46.48,Mon
1185,7,98.43,Wed
1185,4,58.96,Wed
1185,1,41.99,Tue
1190,2,35.48,Tue
1190,3,39.95,Mon
1190,1,14.96,Wed
1190,3,54.69,Sun
1190,2,25.98,Tue
1195,1,48.49,Sun
1195,2,24.98,Sun
1195,6,79.94,Sun
1195,1,22.49,Mon
1195,1,13.99,Sun
1205,8,116.9,Wed
1205,8,131.89,Fri
1205,1,17.7,Tue
1205,1,17.7,Thu
1205,4,74.62,Sun
1208,1,6.49,Sat
1208,1,20.9,Sun
1208,1,11.77,Sun
1208,1,14.99,Sat
1208,2,26.73,Wed
1212,1,13.97,Sun
1212,2,28.53,Sat
1212,2,29.53,Fri
1212,1,14.96,Tue
1212,2,26.73,Sun
1221,2,26.14,Sun
1221,3,36.9,Sun
1221,3,44.97,Thu
1221,2,27.48,Sun
1221,5,63.45,Sat
1226,1,8.99,Sun
1226,1,12.97,Tue
1226,1,13.97,Mon
1226,1,12.97,Sat
1226,1,14.96,Mon
1228,1,26.99,Sun
1228,1,12.49,Mon
1228,2,24.98,Sun
1228,1,16.99,Sun
1228,2,35.48,Thu
1229,3,74.97,Thu
1229,1,9.98,Fri
1229,2,28.73,Sun
1229,1,14.96,Fri
1229,3,28.16,Wed
1232,1,31.03,Sat
1232,4,53.48,Sun
1232,4,54.5,Fri
1232,3,41.51,Sun
1232,2,30.72,Mon
1241,1,11.77,Sun
1241,2,25.74,Sun
1241,3,41.1,Sat
1241,1,14.99,Sun
1241,3,38.97,Wed
1247,3,42.47,Mon
1247,3,38.97,Wed
1247,3,41.75,Wed
1247,3,29.97,Thu
1247,3,34.31,Fri
1248,4,49.68,Sun
1248,6,134.21,Mon
1248,5,65.44,Sat
1248,6,77.94,Tue
1248,2,62.57,Wed
1251,3,58.97,Thu
1251,2,24.5,Sun
1251,3,21.09,Tue
1251,3,32.47,Sat
1251,1,6.79,Sun
1254,1,28.02,Mon
1254,1,18.76,Sun
1254,1,14.96,Fri
1254,1,12.99,Mon
1254,1,11.49,Fri
1258,7,98.83,Sun
1258,7,97.59,Sun
1258,8,102.97,Fri
1258,8,98.36,Thu
1258,5,73.81,Thu
1284,2,45.76,Mon
1284,1,14.79,Mon
1284,1,20.99,Sun
1284,1,14.96,Wed
1284,2,28.34,Mon
1292,2,31.98,Mon
1292,1,6.79,Sun
1292,1,6.79,Sun
1292,4,49.46,Mon
1292,1,14.99,Thu
1294,2,32.48,Sat
1294,6,82.83,Thu
