id,amount,bank,operation,type,k_symbol
21,9415.0,nan,VKLAD,PRIJEM,nan
21,135.2,nan,nan,PRIJEM,UROK
21,3700.0,nan,VYBER,VYDAJ,nan
21,9415.0,nan,VKLAD,PRIJEM,nan
22,1100.0,nan,VKLAD,PRIJEM,nan
22,16873.0,nan,VKLAD,PRIJEM,nan
22,3500.0,nan,VKLAD,PRIJEM,nan
22,26.8,nan,nan,PRIJEM,UROK
22,16873.0,nan,VKLAD,PRIJEM,nan
22,5700.0,nan,VYBER,VYDAJ,nan
22,104.5,nan,nan,PRIJEM,UROK
22,25310.0,nan,VKLAD,PRIJEM,nan
22,15900.0,nan,VYBER,VYDAJ,nan
22,149.4,nan,nan,PRIJEM,UROK
22,16873.0,nan,VKLAD,PRIJEM,nan
23,800.0,nan,VKLAD,PRIJEM,nan
23,33132.0,nan,VKLAD,PRIJEM,nan
23,5300.0,nan,VYBER,VYDAJ,nan
23,39.8,nan,nan,PRIJEM,UROK
23,22088.0,nan,VKLAD,PRIJEM,nan
23,11400.0,nan,VYBER,VYDAJ,nan
23,135.2,nan,nan,PRIJEM,UROK
23,22088.0,nan,VKLAD,PRIJEM,nan
23,19400.0,nan,VYBER,VYDAJ,nan
23,168.6,nan,nan,PRIJEM,UROK
23,22088.0,nan,VKLAD,PRIJEM,nan
24,1000.0,nan,VKLAD,PRIJEM,nan
24,18925.5,nan,VKLAD,PRIJEM,nan
24,69.6,nan,nan,PRIJEM,UROK
24,4000.0,nan,VKLAD,PRIJEM,nan
24,12617.0,nan,VKLAD,PRIJEM,nan
24,141.3,nan,nan,PRIJEM,UROK
24,3600.0,nan,VYBER,VYDAJ,nan
24,12617.0,nan,VKLAD,PRIJEM,nan
24,183.9,nan,nan,PRIJEM,UROK
24,12900.0,nan,VYBER,VYDAJ,nan
24,12617.0,nan,VKLAD,PRIJEM,nan
25,900.0,nan,VKLAD,PRIJEM,nan
25,15800.0,nan,VKLAD,PRIJEM,nan
25,13067.0,nan,VKLAD,PRIJEM,nan
25,42054.0,nan,VKLAD,PRIJEM,nan
25,41759.0,nan,VKLAD,PRIJEM,nan
25,36000.0,nan,VYBER,VYDAJ,nan
25,13794.0,nan,VKLAD,PRIJEM,nan
25,33600.0,nan,VYBER,VYDAJ,nan
25,362.5,nan,nan,PRIJEM,UROK
25,22573.0,nan,VKLAD,PRIJEM,nan
25,1110.0,AB,PREVOD NA UCET,VYDAJ,nan
26,800.0,nan,VKLAD,PRIJEM,nan
26,24802.0,GH,PREVOD Z UCTU,PRIJEM,nan
26,68.8,nan,nan,PRIJEM,UROK
26,1300.0,nan,VKLAD,PRIJEM,nan
26,24802.0,GH,PREVOD Z UCTU,PRIJEM,nan
26,175.7,nan,nan,PRIJEM,UROK
26,15300.0,nan,VYBER,VYDAJ,nan
26,24802.0,GH,PREVOD Z UCTU,PRIJEM,nan
26,241.7,nan,nan,PRIJEM,UROK
26,19000.0,nan,VYBER,VYDAJ,nan
26,24802.0,GH,PREVOD Z UCTU,PRIJEM,nan
27,900.0,nan,VKLAD,PRIJEM,nan
27,8627.0,nan,VKLAD,PRIJEM,nan
27,8300.0,nan,VKLAD,PRIJEM,nan
27,14.4,nan,nan,PRIJEM,UROK
27,8627.0,nan,VKLAD,PRIJEM,nan
27,1700.0,nan,VYBER,VYDAJ,nan
27,80.1,nan,nan,PRIJEM,UROK
27,12940.0,nan,VKLAD,PRIJEM,nan
27,8400.0,nan,VYBER,VYDAJ,nan
27,107.5,nan,nan,PRIJEM,UROK
27,8627.0,nan,VKLAD,PRIJEM,nan
28,700.0,nan,VKLAD,PRIJEM,nan
28,26667.0,nan,VKLAD,PRIJEM,nan
28,200.0,nan,VYBER,VYDAJ,nan
28,29.2,nan,nan,PRIJEM,UROK
28,17778.0,nan,VKLAD,PRIJEM,nan
28,11100.0,nan,VYBER,VYDAJ,nan
28,121.3,nan,nan,PRIJEM,UROK
28,17778.0,nan,VKLAD,PRIJEM,nan
28,10400.0,nan,VYBER,VYDAJ,nan
28,149.0,nan,nan,PRIJEM,UROK
28,17778.0,nan,VKLAD,PRIJEM,nan
29,400.0,nan,VKLAD,PRIJEM,nan
29,10400.0,nan,VKLAD,PRIJEM,nan
29,17117.0,nan,VKLAD,PRIJEM,nan
29,3.9,nan,nan,PRIJEM,UROK
29,19709.0,nan,VKLAD,PRIJEM,nan
29,11100.0,nan,VYBER,VYDAJ,nan
29,14905.0,nan,VKLAD,PRIJEM,nan
29,15431.0,nan,VKLAD,PRIJEM,nan
29,14.6,nan,VYBER,VYDAJ,SLUZBY
29,26181.0,nan,VKLAD,PRIJEM,nan
29,181.6,nan,nan,PRIJEM,UROK
30,800.0,nan,VKLAD,PRIJEM,nan
30,5339.0,nan,VKLAD,PRIJEM,nan
30,15043.0,nan,VKLAD,PRIJEM,nan
30,42260.0,nan,VKLAD,PRIJEM,nan
30,21500.0,nan,VYBER,VYDAJ,nan
30,139.1,nan,nan,PRIJEM,UROK
30,49537.0,nan,VKLAD,PRIJEM,nan
30,7467.0,nan,VKLAD,PRIJEM,nan
30,35100.0,nan,VYBER,VYDAJ,nan
30,14.6,nan,VYBER,VYDAJ,SLUZBY
30,293.3,nan,nan,PRIJEM,UROK
31,700.0,nan,VKLAD,PRIJEM,nan
31,16548.0,nan,VKLAD,PRIJEM,nan
31,5200.0,nan,VKLAD,PRIJEM,nan
31,12.5,nan,nan,PRIJEM,UROK
31,16548.0,nan,VKLAD,PRIJEM,nan
31,4600.0,nan,VYBER,VYDAJ,nan
31,101.6,nan,nan,PRIJEM,UROK
31,16548.0,nan,VKLAD,PRIJEM,nan
31,12700.0,nan,VYBER,VYDAJ,nan
31,146.1,nan,nan,PRIJEM,UROK
31,24822.0,nan,VKLAD,PRIJEM,nan
32,600.0,nan,VKLAD,PRIJEM,nan
32,23589.0,nan,VKLAD,PRIJEM,nan
32,2000.0,nan,VKLAD,PRIJEM,nan
32,21.8,nan,nan,PRIJEM,UROK
32,23589.0,nan,VKLAD,PRIJEM,nan
32,12400.0,nan,VYBER,VYDAJ,nan
32,119.7,nan,nan,PRIJEM,UROK
32,23589.0,nan,VKLAD,PRIJEM,nan
32,16600.0,nan,VYBER,VYDAJ,nan
32,162.7,nan,nan,PRIJEM,UROK
32,35384.0,nan,VKLAD,PRIJEM,nan
33,600.0,nan,VKLAD,PRIJEM,nan
33,31845.0,EF,PREVOD Z UCTU,PRIJEM,nan
33,2900.0,nan,VYBER,VYDAJ,nan
33,59.6,nan,nan,PRIJEM,UROK
33,31845.0,EF,PREVOD Z UCTU,PRIJEM,nan
33,20400.0,nan,VYBER,VYDAJ,nan
33,147.1,nan,nan,PRIJEM,UROK
33,47768.0,EF,PREVOD Z UCTU,PRIJEM,nan
33,33000.0,nan,VYBER,VYDAJ,nan
33,203.1,nan,nan,PRIJEM,UROK
33,31845.0,EF,PREVOD Z UCTU,PRIJEM,nan
34,600.0,nan,VKLAD,PRIJEM,nan
34,5446.0,ST,PREVOD Z UCTU,PRIJEM,DUCHOD
34,5446.0,ST,PREVOD Z UCTU,PRIJEM,DUCHOD
34,5446.0,ST,PREVOD Z UCTU,PRIJEM,DUCHOD
34,5446.0,ST,PREVOD Z UCTU,PRIJEM,DUCHOD
34,5446.0,ST,PREVOD Z UCTU,PRIJEM,DUCHOD
34,1362.0,MN,PREVOD NA UCET,VYDAJ,nan
34,1022.0,MN,PREVOD NA UCET,VYDAJ,SIPO
34,14.6,nan,VYBER,VYDAJ,SLUZBY
34,79.2,nan,nan,PRIJEM,UROK
34,2080.0,nan,VYBER,VYDAJ,nan
35,500.0,nan,VKLAD,PRIJEM,nan
35,19852.0,nan,VKLAD,PRIJEM,nan
35,4000.0,nan,VKLAD,PRIJEM,nan
35,74.4,nan,nan,PRIJEM,UROK
35,19852.0,nan,VKLAD,PRIJEM,nan
35,11400.0,nan,VYBER,VYDAJ,nan
35,104.0,nan,nan,PRIJEM,UROK
35,19852.0,nan,VKLAD,PRIJEM,nan
35,13300.0,nan,VYBER,VYDAJ,nan
35,138.8,nan,nan,PRIJEM,UROK
35,19852.0,nan,VKLAD,PRIJEM,nan
36,900.0,nan,VKLAD,PRIJEM,nan
36,33712.0,nan,VKLAD,PRIJEM,nan
36,21538.0,nan,VKLAD,PRIJEM,nan
36,84.8,nan,nan,PRIJEM,UROK
36,38257.0,nan,VKLAD,PRIJEM,nan
36,42400.0,nan,VYBER,VYDAJ,nan
36,7878.0,nan,VKLAD,PRIJEM,nan
36,18400.0,nan,VYBER,VYDAJ,nan
36,288.1,nan,nan,PRIJEM,UROK
36,7000.0,nan,VYBER,VYDAJ,nan
36,349.9,nan,nan,PRIJEM,UROK
37,13841.0,YZ,PREVOD Z UCTU,PRIJEM,nan
37,1100.0,nan,VKLAD,PRIJEM,nan
37,48.2,nan,nan,PRIJEM,UROK
37,6600.0,nan,VKLAD,PRIJEM,nan
37,13841.0,YZ,PREVOD Z UCTU,PRIJEM,nan
37,127.7,nan,nan,PRIJEM,UROK
37,2700.0,nan,VYBER,VYDAJ,nan
37,13841.0,YZ,PREVOD Z UCTU,PRIJEM,nan
37,184.0,nan,nan,PRIJEM,UROK
37,10700.0,nan,VYBER,VYDAJ,nan
37,13841.0,YZ,PREVOD Z UCTU,PRIJEM,nan
38,1100.0,nan,VKLAD,PRIJEM,nan
38,6474.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
38,6474.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
38,6474.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
38,6474.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
38,2600.0,nan,VYBER,VYDAJ,nan
38,39.3,nan,nan,PRIJEM,UROK
38,6474.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
38,2970.0,WX,PREVOD NA UCET,VYDAJ,nan
38,145.0,CD,PREVOD NA UCET,VYDAJ,SIPO
38,4000.0,nan,VYBER,VYDAJ,nan
39,700.0,nan,VKLAD,PRIJEM,nan
39,6502.0,nan,VKLAD,PRIJEM,nan
39,8400.0,nan,VKLAD,PRIJEM,nan
39,15.2,nan,nan,PRIJEM,UROK
39,9753.0,nan,VKLAD,PRIJEM,nan
39,2200.0,nan,VYBER,VYDAJ,nan
39,73.1,nan,nan,PRIJEM,UROK
39,6502.0,nan,VKLAD,PRIJEM,nan
39,500.0,nan,VYBER,VYDAJ,nan
39,103.9,nan,nan,PRIJEM,UROK
39,6502.0,nan,VKLAD,PRIJEM,nan
40,800.0,nan,VKLAD,PRIJEM,nan
40,17292.0,nan,VKLAD,PRIJEM,nan
40,43.8,nan,nan,PRIJEM,UROK
40,3500.0,nan,VKLAD,PRIJEM,nan
40,17292.0,nan,VKLAD,PRIJEM,nan
40,124.6,nan,nan,PRIJEM,UROK
40,8000.0,nan,VYBER,VYDAJ,nan
40,17292.0,nan,VKLAD,PRIJEM,nan
40,11800.0,nan,VYBER,VYDAJ,nan
40,183.4,nan,nan,PRIJEM,UROK
40,17292.0,nan,VKLAD,PRIJEM,nan
41,800.0,nan,VKLAD,PRIJEM,nan
41,9106.0,nan,VKLAD,PRIJEM,nan
41,6900.0,nan,VKLAD,PRIJEM,nan
41,37.3,nan,nan,PRIJEM,UROK
41,9106.0,nan,VKLAD,PRIJEM,nan
41,2100.0,nan,VYBER,VYDAJ,nan
41,86.1,nan,nan,PRIJEM,UROK
41,9106.0,nan,VKLAD,PRIJEM,nan
41,8700.0,nan,VYBER,VYDAJ,nan
41,100.5,nan,nan,PRIJEM,UROK
41,13659.0,nan,VKLAD,PRIJEM,nan
42,1100.0,nan,VKLAD,PRIJEM,nan
42,35862.0,nan,VKLAD,PRIJEM,nan
42,92.4,nan,nan,PRIJEM,UROK
42,3900.0,nan,VYBER,VYDAJ,nan
42,23908.0,nan,VKLAD,PRIJEM,nan
42,205.3,nan,nan,PRIJEM,UROK
42,15200.0,nan,VYBER,VYDAJ,nan
42,23908.0,nan,VKLAD,PRIJEM,nan
42,260.5,nan,nan,PRIJEM,UROK
42,22100.0,nan,VYBER,VYDAJ,nan
42,23908.0,nan,VKLAD,PRIJEM,nan
43,400.0,nan,VKLAD,PRIJEM,nan
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,2344.0,GH,PREVOD NA UCET,VYDAJ,SIPO
43,14.6,nan,VYBER,VYDAJ,SLUZBY
43,58.9,nan,nan,PRIJEM,UROK
43,4200.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
43,3200.0,nan,VYBER,VYDAJ,nan
44,300.0,nan,VKLAD,PRIJEM,nan
44,1600.0,nan,VKLAD,PRIJEM,nan
44,4.5,nan,nan,PRIJEM,UROK
44,10400.0,nan,VKLAD,PRIJEM,nan
44,1600.0,nan,VKLAD,PRIJEM,nan
44,35.3,nan,nan,PRIJEM,UROK
44,6200.0,nan,VKLAD,PRIJEM,nan
44,1600.0,nan,VKLAD,PRIJEM,nan
44,76.4,nan,nan,PRIJEM,UROK
44,4900.0,nan,VKLAD,PRIJEM,nan
44,1600.0,nan,VKLAD,PRIJEM,nan
45,300.0,nan,VKLAD,PRIJEM,nan
45,35257.0,UV,PREVOD Z UCTU,PRIJEM,nan
45,100.4,nan,nan,PRIJEM,UROK
45,5600.0,nan,VYBER,VYDAJ,nan
45,35257.0,UV,PREVOD Z UCTU,PRIJEM,nan
45,230.8,nan,nan,PRIJEM,UROK
45,21400.0,nan,VYBER,VYDAJ,nan
45,35257.0,UV,PREVOD Z UCTU,PRIJEM,nan
45,311.9,nan,nan,PRIJEM,UROK
45,28000.0,nan,VYBER,VYDAJ,nan
45,35257.0,UV,PREVOD Z UCTU,PRIJEM,nan
46,700.0,nan,VKLAD,PRIJEM,nan
46,34221.0,nan,VKLAD,PRIJEM,nan
46,4800.0,nan,VYBER,VYDAJ,nan
46,60.7,nan,nan,PRIJEM,UROK
46,22814.0,nan,VKLAD,PRIJEM,nan
46,15900.0,nan,VYBER,VYDAJ,nan
46,140.5,nan,nan,PRIJEM,UROK
46,22814.0,nan,VKLAD,PRIJEM,nan
46,17900.0,nan,VYBER,VYDAJ,nan
46,165.1,nan,nan,PRIJEM,UROK
46,22814.0,nan,VKLAD,PRIJEM,nan
47,300.0,nan,VKLAD,PRIJEM,nan
47,4654.0,EF,PREVOD Z UCTU,PRIJEM,DUCHOD
47,13.1,nan,nan,PRIJEM,UROK
47,4654.0,EF,PREVOD Z UCTU,PRIJEM,DUCHOD
47,20.6,nan,nan,PRIJEM,UROK
47,4654.0,EF,PREVOD Z UCTU,PRIJEM,DUCHOD
47,20.6,nan,nan,PRIJEM,UROK
47,4654.0,EF,PREVOD Z UCTU,PRIJEM,DUCHOD
47,20.6,nan,nan,PRIJEM,UROK
47,4654.0,EF,PREVOD Z UCTU,PRIJEM,DUCHOD
47,14.6,nan,VYBER,VYDAJ,SLUZBY
48,900.0,nan,VKLAD,PRIJEM,nan
48,16130.0,nan,VKLAD,PRIJEM,nan
48,45.8,nan,nan,PRIJEM,UROK
48,1200.0,nan,VKLAD,PRIJEM,nan
48,24195.0,nan,VKLAD,PRIJEM,nan
48,138.1,nan,nan,PRIJEM,UROK
48,10200.0,nan,VYBER,VYDAJ,nan
48,16130.0,nan,VKLAD,PRIJEM,nan
